Module,Entity,SOP,SubSOP,Source_File,Generated_Timestamp
01_Direct Ship with Serials,PALCO,FINANCIAL,ACCOUNTS PAYABLE,/workspaces/edx_trn_att/Inputs/ModMstr/SR04 Document Tracking Report_103125_1010.csv,20251104_1651
01.2_CSD Incident,PALCO,ISM,01_Service Order Process,/workspaces/edx_trn_att/Inputs/ModMstr/SR04 Document Tracking Report_103125_1010.csv,20251104_1651
01_ISM Incident,PALCO,ISM,01_Service Order Process,/workspaces/edx_trn_att/Inputs/ModMstr/SR04 Document Tracking Report_103125_1010.csv,20251104_1651
03_Incident to SRO,PALCO,ISM,01_Service Order Process,/workspaces/edx_trn_att/Inputs/ModMstr/SR04 Document Tracking Report_103125_1010.csv,20251104_1651
04_Quick Create SRO,PALCO,ISM,01_Service Order Process,/workspaces/edx_trn_att/Inputs/ModMstr/SR04 Document Tracking Report_103125_1010.csv,20251104_1651
05_Add SRO Lines,PALCO,ISM,01_Service Order Process,/workspaces/edx_trn_att/Inputs/ModMstr/SR04 Document Tracking Report_103125_1010.csv,20251104_1651
06_Add Operations,PALCO,ISM,01_Service Order Process,/workspaces/edx_trn_att/Inputs/ModMstr/SR04 Document Tracking Report_103125_1010.csv,20251104_1651
07_Add Planned Transactions,PALCO,ISM,01_Service Order Process,/workspaces/edx_trn_att/Inputs/ModMstr/SR04 Document Tracking Report_103125_1010.csv,20251104_1651
08_Add a Non-Stock,PALCO,ISM,01_Service Order Process,/workspaces/edx_trn_att/Inputs/ModMstr/SR04 Document Tracking Report_103125_1010.csv,20251104_1651
09_Print the Non-Stock PO,PALCO,ISM,01_Service Order Process,/workspaces/edx_trn_att/Inputs/ModMstr/SR04 Document Tracking Report_103125_1010.csv,20251104_1651
10_Receive the Non-Stock,PALCO,ISM,01_Service Order Process,/workspaces/edx_trn_att/Inputs/ModMstr/SR04 Document Tracking Report_103125_1010.csv,20251104_1651
11_Schedule Service,PALCO,ISM,01_Service Order Process,/workspaces/edx_trn_att/Inputs/ModMstr/SR04 Document Tracking Report_103125_1010.csv,20251104_1651
12_Posting Transactions,PALCO,ISM,01_Service Order Process,/workspaces/edx_trn_att/Inputs/ModMstr/SR04 Document Tracking Report_103125_1010.csv,20251104_1651
13_Invoicing in ISM,PALCO,ISM,01_Service Order Process,/workspaces/edx_trn_att/Inputs/ModMstr/SR04 Document Tracking Report_103125_1010.csv,20251104_1651
14_Close SRO,PALCO,ISM,01_Service Order Process,/workspaces/edx_trn_att/Inputs/ModMstr/SR04 Document Tracking Report_103125_1010.csv,20251104_1651
15_Create SRO Estimate,PALCO,ISM,01_Service Order Process,/workspaces/edx_trn_att/Inputs/ModMstr/SR04 Document Tracking Report_103125_1010.csv,20251104_1651
16_Create SRO Callback,PALCO,ISM,01_Service Order Process,/workspaces/edx_trn_att/Inputs/ModMstr/SR04 Document Tracking Report_103125_1010.csv,20251104_1651
17_Convert Estimate To SRO,PALCO,ISM,01_Service Order Process,/workspaces/edx_trn_att/Inputs/ModMstr/SR04 Document Tracking Report_103125_1010.csv,20251104_1651
01_Create Rental Contract,PALCO,ISM,02_Rental Process,/workspaces/edx_trn_att/Inputs/ModMstr/SR04 Document Tracking Report_103125_1010.csv,20251104_1651
02_Add Rental Items,PALCO,ISM,02_Rental Process,/workspaces/edx_trn_att/Inputs/ModMstr/SR04 Document Tracking Report_103125_1010.csv,20251104_1651
03_Print Rental Agreement,PALCO,ISM,02_Rental Process,/workspaces/edx_trn_att/Inputs/ModMstr/SR04 Document Tracking Report_103125_1010.csv,20251104_1651
04_Add Re Rent Items,PALCO,ISM,02_Rental Process,/workspaces/edx_trn_att/Inputs/ModMstr/SR04 Document Tracking Report_103125_1010.csv,20251104_1651
06_Print Re Rent PO,PALCO,ISM,02_Rental Process,/workspaces/edx_trn_att/Inputs/ModMstr/SR04 Document Tracking Report_103125_1010.csv,20251104_1651
07_Receive Re Rent PO,PALCO,ISM,02_Rental Process,/workspaces/edx_trn_att/Inputs/ModMstr/SR04 Document Tracking Report_103125_1010.csv,20251104_1651
08_Check Out Rental,PALCO,ISM,02_Rental Process,/workspaces/edx_trn_att/Inputs/ModMstr/SR04 Document Tracking Report_103125_1010.csv,20251104_1651
09_Check In Rental,PALCO,ISM,02_Rental Process,/workspaces/edx_trn_att/Inputs/ModMstr/SR04 Document Tracking Report_103125_1010.csv,20251104_1651
10_Close Rental,PALCO,ISM,02_Rental Process,/workspaces/edx_trn_att/Inputs/ModMstr/SR04 Document Tracking Report_103125_1010.csv,20251104_1651
11_Change Billing Details,PALCO,ISM,02_Rental Process,/workspaces/edx_trn_att/Inputs/ModMstr/SR04 Document Tracking Report_103125_1010.csv,20251104_1651
12_Receive Vendor RM PO,PALCO,ISM,02_Rental Process,/workspaces/edx_trn_att/Inputs/ModMstr/SR04 Document Tracking Report_103125_1010.csv,20251104_1651
13_Add Freight to Rental,PALCO,ISM,02_Rental Process,/workspaces/edx_trn_att/Inputs/ModMstr/SR04 Document Tracking Report_103125_1010.csv,20251104_1651
14_Print RM PO,PALCO,ISM,02_Rental Process,/workspaces/edx_trn_att/Inputs/ModMstr/SR04 Document Tracking Report_103125_1010.csv,20251104_1651
01_Filter Working Status,PALCO,ISM,03_Warranty Process,/workspaces/edx_trn_att/Inputs/ModMstr/SR04 Document Tracking Report_103125_1010.csv,20251104_1651
03_Change Working Status,PALCO,ISM,03_Warranty Process,/workspaces/edx_trn_att/Inputs/ModMstr/SR04 Document Tracking Report_103125_1010.csv,20251104_1651
04_Change Operations,PALCO,ISM,03_Warranty Process,/workspaces/edx_trn_att/Inputs/ModMstr/SR04 Document Tracking Report_103125_1010.csv,20251104_1651
05_Customer Bill Override,PALCO,ISM,03_Warranty Process,/workspaces/edx_trn_att/Inputs/ModMstr/SR04 Document Tracking Report_103125_1010.csv,20251104_1651
06_ISM Invoice,PALCO,ISM,03_Warranty Process,/workspaces/edx_trn_att/Inputs/ModMstr/SR04 Document Tracking Report_103125_1010.csv,20251104_1651
07_Mark Accepted,PALCO,ISM,03_Warranty Process,/workspaces/edx_trn_att/Inputs/ModMstr/SR04 Document Tracking Report_103125_1010.csv,20251104_1651
08_Mark Reconciled,PALCO,ISM,03_Warranty Process,/workspaces/edx_trn_att/Inputs/ModMstr/SR04 Document Tracking Report_103125_1010.csv,20251104_1651
09_Vendor Invoice Center,PALCO,ISM,03_Warranty Process,/workspaces/edx_trn_att/Inputs/ModMstr/SR04 Document Tracking Report_103125_1010.csv,20251104_1651
01_Partner Set Up,PALCO,ISM,04_ISM Set Up,/workspaces/edx_trn_att/Inputs/ModMstr/SR04 Document Tracking Report_103125_1010.csv,20251104_1651
02_Partners Schedule Set Up,PALCO,ISM,04_ISM Set Up,/workspaces/edx_trn_att/Inputs/ModMstr/SR04 Document Tracking Report_103125_1010.csv,20251104_1651
03_Create a New Work Code,PALCO,ISM,04_ISM Set Up,/workspaces/edx_trn_att/Inputs/ModMstr/SR04 Document Tracking Report_103125_1010.csv,20251104_1651
05_Create an SRO Template,PALCO,ISM,04_ISM Set Up,/workspaces/edx_trn_att/Inputs/ModMstr/SR04 Document Tracking Report_103125_1010.csv,20251104_1651
06_Create a Warranty Code,PALCO,ISM,04_ISM Set Up,/workspaces/edx_trn_att/Inputs/ModMstr/SR04 Document Tracking Report_103125_1010.csv,20251104_1651
07_Set Up a Rate,PALCO,ISM,04_ISM Set Up,/workspaces/edx_trn_att/Inputs/ModMstr/SR04 Document Tracking Report_103125_1010.csv,20251104_1651
08_Contract Rental Template,PALCO,ISM,04_ISM Set Up,/workspaces/edx_trn_att/Inputs/ModMstr/SR04 Document Tracking Report_103125_1010.csv,20251104_1651
09_Contract Service Template PMA,PALCO,ISM,04_ISM Set Up,/workspaces/edx_trn_att/Inputs/ModMstr/SR04 Document Tracking Report_103125_1010.csv,20251104_1651
01_Create a Customer Unit,PALCO,ISM,06_Register a Unit,/workspaces/edx_trn_att/Inputs/ModMstr/SR04 Document Tracking Report_103125_1010.csv,20251104_1651
02_Add a Warranty to a Unit,PALCO,ISM,06_Register a Unit,/workspaces/edx_trn_att/Inputs/ModMstr/SR04 Document Tracking Report_103125_1010.csv,20251104_1651
01_Travel to Site,PALCO,ISM,07_Tech Mobile,/workspaces/edx_trn_att/Inputs/ModMstr/SR04 Document Tracking Report_103125_1010.csv,20251104_1651
02_Perform Site Work,PALCO,ISM,07_Tech Mobile,/workspaces/edx_trn_att/Inputs/ModMstr/SR04 Document Tracking Report_103125_1010.csv,20251104_1651
03_Add Material,PALCO,ISM,07_Tech Mobile,/workspaces/edx_trn_att/Inputs/ModMstr/SR04 Document Tracking Report_103125_1010.csv,20251104_1651
04_Travel Leaving Site,PALCO,ISM,07_Tech Mobile,/workspaces/edx_trn_att/Inputs/ModMstr/SR04 Document Tracking Report_103125_1010.csv,20251104_1651
05_Close Appointment,PALCO,ISM,07_Tech Mobile,/workspaces/edx_trn_att/Inputs/ModMstr/SR04 Document Tracking Report_103125_1010.csv,20251104_1651
06_Change Status to Call Back,PALCO,ISM,07_Tech Mobile,/workspaces/edx_trn_att/Inputs/ModMstr/SR04 Document Tracking Report_103125_1010.csv,20251104_1651
01_Create PMA Contract,PALCO,ISM,08_PMA Service Orders,/workspaces/edx_trn_att/Inputs/ModMstr/SR04 Document Tracking Report_103125_1010.csv,20251104_1651
