Module,Entity,SOP,SubSOP,Source,Decision
01 Customer Inquiry Pricing,,,,RESP_worklist,EDIT
01 Run SA Operator Security Violations Report,,,,RESP_worklist,EDIT
01-Access Sales Order Entry Window,,,,RESP_worklist,EDIT
01-Create new vendor,,,,RESP_worklist,ACCEPT
01-Enter Stock Customer Sales Order,,,,RESP_worklist,ACCEPT
01-Log in to SX.e,,,,RESP_worklist,EDIT
01-Set Up New Product and Product Line,,,,RESP_worklist,EDIT
01-Set Up Report Schedule Type,,,,RESP_worklist,EDIT
01-Set up customer,,,,RESP_worklist,EDIT
01-Set up vendor,,,,RESP_worklist,EDIT
"01-Ship Sales Order, Include Addons",,,,RESP_worklist,ACCEPT
01.2_CSD Incident,,,,RESP_worklist,ACCEPT
01_Add Items to Stock Customer Sales Order,,,,RESP_worklist,ACCEPT
01_Copy Quote Order to a Stock Order,,,,RESP_worklist,ACCEPT
01_Create Invoice Process Group,,,,RESP_worklist,ACCEPT
01_Create PMA Contract,,,,RESP_worklist,ACCEPT
01_Create Purchase Order,,,,RESP_worklist,ACCEPT
01_Create Rental Contract,,,,RESP_worklist,ACCEPT
01_Create a Blanket Order,,,,RESP_worklist,ACCEPT
01_Create a Customer Unit,,,,RESP_worklist,ACCEPT
01_Customer Setup,,,,RESP_worklist,ACCEPT
01_Enter Stock Customer Sales Order,,,,RESP_worklist,ACCEPT
01_Enter an Invoice,,,,RESP_worklist,ACCEPT
01_Filter Working Status,,,,RESP_worklist,ACCEPT
01_Generate RRAR,,,,RESP_worklist,ACCEPT
01_How to Use the Quote Modification,,,,RESP_worklist,ACCEPT
01_ISM Incident,,,,RESP_worklist,ACCEPT
01_Initiate Vendor Return,,,,RESP_worklist,ACCEPT
01_Manual Entry of a Warehouse Transfer,,,,RESP_worklist,ACCEPT
01_Order Inquiry,,,,RESP_worklist,ACCEPT
01_Partner Set Up,,,,RESP_worklist,ACCEPT
01_Perform Lookups in Customer Sales Order,,,,RESP_worklist,ACCEPT
01_Price Correction,,,,RESP_worklist,ACCEPT
01_Print PO Expedite Report,,,,RESP_worklist,ACCEPT
01_Process Core as Return Merchandise,,,,RESP_worklist,ACCEPT
01_Product Inquiry,,,,RESP_worklist,ACCEPT
01_Purchase Order Submit PO to Vendor,,,,RESP_worklist,ACCEPT
01_Release Credit Hold,,,,RESP_worklist,ACCEPT
01_Review the Shopping List,,,,RESP_worklist,ACCEPT
01_Run (ARRO) AR Open Activity Report,,,,RESP_worklist,ACCEPT
"01_Ship Sales Order, Include Addons",,,,RESP_worklist,ACCEPT
01_Travel to Site,,,,RESP_worklist,ACCEPT
01_View Consolidation Info in Demand Center,,,,RESP_worklist,ACCEPT
01_Wire Order Placement,,,,RESP_worklist,ACCEPT
02 Set Up a Customer Record,,,,RESP_worklist,EDIT
02-Add Items to Stock Customer Sales Order,,,,RESP_worklist,ACCEPT
02-Assign Serial Numbers to Orders During Shipping,,,,RESP_worklist,EDIT
02-Change Layout and Appearance of Grid,,,,RESP_worklist,EDIT
02-Company setup in GL,,,,RESP_worklist,EDIT
02-Create PO,,,,RESP_worklist,EDIT
02-Enter stock customer sales order,,,,RESP_worklist,ACCEPT
02-Report Scheduler Startup-Shutdown Function,,,,RESP_worklist,EDIT
02-Review Operator Record,,,,RESP_worklist,EDIT
02-Set up ship-to address,,,,RESP_worklist,EDIT
02-Set up vendor ship-from,,,,RESP_worklist,EDIT
02_Add Items,,,,RESP_worklist,ACCEPT
02_Add Items to PO and Finish It,,,,RESP_worklist,ACCEPT
02_Add Rental Items,,,,RESP_worklist,ACCEPT
02_Add a Warranty to a Unit,,,,RESP_worklist,ACCEPT
02_Adjust Line Items,,,,RESP_worklist,ACCEPT
02_Approving a Warehouse Transfer That is on Hold,,,,RESP_worklist,ACCEPT
02_Copy Customer Sales Order,,,,RESP_worklist,ACCEPT
"02_Customer Inquiry with Past Due Invoices, Large Dollar Amount Balance",,,,RESP_worklist,ACCEPT
02_Determining Extra Stock to Order,,,,RESP_worklist,ACCEPT
02_Enter a Credit Memo,,,,RESP_worklist,ACCEPT
02_Enter a Quote Order,,,,RESP_worklist,ACCEPT
02_Merge POs_Print POs_Generate Exception Report,,,,RESP_worklist,ACCEPT
02_Partners Schedule Set Up,,,,RESP_worklist,ACCEPT
02_Perform Site Work,,,,RESP_worklist,ACCEPT
02_Print Inventory Turnover Report,,,,RESP_worklist,ACCEPT
02_Print Pick Ticket,,,,RESP_worklist,ACCEPT
02_Purchase Order Maintain PO,,,,RESP_worklist,ACCEPT
"02_Review Taxes, Totals, Payments for Stock Customer Sales Order",,,,RESP_worklist,ACCEPT
02_Run either the IC Entry Cycle Count Report or the IC Entry Physical Count Report,,,,RESP_worklist,ACCEPT
02_Ship-to Setup,,,,RESP_worklist,ACCEPT
02_Use Order Inquiry to Search Orders,,,,RESP_worklist,ACCEPT
02_Verify Customer Eligibility,,,,RESP_worklist,ACCEPT
02_View RRAR Records,,,,RESP_worklist,ACCEPT
03 Create and Verify a Pricing Record,,,,RESP_worklist,EDIT
03-Add Items to PO and Finish It,,,,RESP_worklist,ACCEPT
03-Create Report Scheduler Queue,,,,RESP_worklist,EDIT
03-Create inventory item in single WH,,,,RESP_worklist,EDIT
03-Create invoice process group,,,,RESP_worklist,ACCEPT
03-Enter an invoice,,,,RESP_worklist,ACCEPT
03-Global Search,,,,RESP_worklist,EDIT
03-Review R and D Operator Record,,,,RESP_worklist,EDIT
03-Review admin options in GL,,,,RESP_worklist,EDIT
03-Review the Shopping List,,,,RESP_worklist,ACCEPT
03-Unship an Order,,,,RESP_worklist,ACCEPT
03-Use Order Inquiry for sales orders,,,,RESP_worklist,EDIT
03.5_Perform Lookups in a PO,,,,RESP_worklist,ACCEPT
03_Acknowledge Purchase Order,,,,RESP_worklist,ACCEPT
03_Blanket POs,,,,RESP_worklist,ACCEPT
03_Change Working Status,,,,RESP_worklist,ACCEPT
03_Enter Stock Sales Order and Change Line Items,,,,RESP_worklist,ACCEPT
03_Enter a Direct Order,,,,RESP_worklist,ACCEPT
03_Establish Job Entry,,,,RESP_worklist,ACCEPT
03_Generate IC Admin Review Cycle Adjustment Report,,,,RESP_worklist,ACCEPT
03_Incident to SRO,,,,RESP_worklist,ACCEPT
03_Inquire on Vendor Info,,,,RESP_worklist,ACCEPT
03_Order Inquiries,,,,RESP_worklist,ACCEPT
03_Print Count Sheets,,,,RESP_worklist,ACCEPT
03_Print Fill Report by Class Report,,,,RESP_worklist,ACCEPT
