SourceFile,Module,Entity,SOP,SubSOP,FinalContext,UAP_Module,Doc_Name,Doc_File_Name,Doc_Parent_Name
FindModuleContext_Worklist_Resp_20251104_2020.csv,01-Create new vendor,,,,,01-Create new vendor,,,
FindModuleContext_Worklist_Resp_20251104_2020.csv,01-Enter Stock Customer Sales Order,,,,,01-Enter Stock Customer Sales Order,,,
FindModuleContext_Worklist_Resp_20251104_2020.csv,"01-Ship Sales Order, Include Addons",,,,,"01-Ship Sales Order, Include Addons",,,
FindModuleContext_Worklist_Resp_20251104_2020.csv,01.2_CSD Incident,,,,,01.2_CSD Incident,,,
FindModuleContext_Worklist_Resp_20251104_2020.csv,01_Add Items to Stock Customer Sales Order,,,,,01_Add Items to Stock Customer Sales Order,,,
FindModuleContext_Worklist_Resp_20251104_2020.csv,01_Copy Quote Order to a Stock Order,,,,,01_Copy Quote Order to a Stock Order,,,
FindModuleContext_Worklist_Resp_20251104_2020.csv,01_Create Invoice Process Group,,,,,01_Create Invoice Process Group,,,
FindModuleContext_Worklist_Resp_20251104_2020.csv,01_Create PMA Contract,,,,,01_Create PMA Contract,,,
FindModuleContext_Worklist_Resp_20251104_2020.csv,01_Create Purchase Order,,,,,01_Create Purchase Order,,,
FindModuleContext_Worklist_Resp_20251104_2020.csv,01_Create Rental Contract,,,,,01_Create Rental Contract,,,
FindModuleContext_Worklist_Resp_20251104_2020.csv,01_Create a Blanket Order,,,,,01_Create a Blanket Order,,,
FindModuleContext_Worklist_Resp_20251104_2020.csv,01_Create a Customer Unit,,,,,01_Create a Customer Unit,,,
FindModuleContext_Worklist_Resp_20251104_2020.csv,01_Customer Setup,,,,,01_Customer Setup,,,
FindModuleContext_Worklist_Resp_20251104_2020.csv,01_Enter Stock Customer Sales Order,,,,,01_Enter Stock Customer Sales Order,,,
FindModuleContext_Worklist_Resp_20251104_2020.csv,01_Enter an Invoice,,,,,01_Enter an Invoice,,,
FindModuleContext_Worklist_Resp_20251104_2020.csv,01_Filter Working Status,,,,,01_Filter Working Status,,,
FindModuleContext_Worklist_Resp_20251104_2020.csv,01_Generate RRAR,,,,,01_Generate RRAR,,,
FindModuleContext_Worklist_Resp_20251104_2020.csv,01_How to Use the Quote Modification,,,,,01_How to Use the Quote Modification,,,
FindModuleContext_Worklist_Resp_20251104_2020.csv,01_ISM Incident,,,,,01_ISM Incident,,,
FindModuleContext_Worklist_Resp_20251104_2020.csv,01_Initiate Vendor Return,,,,,01_Initiate Vendor Return,,,
FindModuleContext_Worklist_Resp_20251104_2020.csv,01_Manual Entry of a Warehouse Transfer,,,,,01_Manual Entry of a Warehouse Transfer,,,
FindModuleContext_Worklist_Resp_20251104_2020.csv,01_Order Inquiry,,,,,01_Order Inquiry,,,
FindModuleContext_Worklist_Resp_20251104_2020.csv,01_Partner Set Up,,,,,01_Partner Set Up,,,
FindModuleContext_Worklist_Resp_20251104_2020.csv,01_Perform Lookups in Customer Sales Order,,,,,01_Perform Lookups in Customer Sales Order,,,
FindModuleContext_Worklist_Resp_20251104_2020.csv,01_Price Correction,,,,,01_Price Correction,,,
FindModuleContext_Worklist_Resp_20251104_2020.csv,01_Print PO Expedite Report,,,,,01_Print PO Expedite Report,,,
FindModuleContext_Worklist_Resp_20251104_2020.csv,01_Process Core as Return Merchandise,,,,,01_Process Core as Return Merchandise,,,
FindModuleContext_Worklist_Resp_20251104_2020.csv,01_Product Inquiry,,,,,01_Product Inquiry,,,
FindModuleContext_Worklist_Resp_20251104_2020.csv,01_Purchase Order Submit PO to Vendor,,,,,01_Purchase Order Submit PO to Vendor,,,
FindModuleContext_Worklist_Resp_20251104_2020.csv,01_Release Credit Hold,,,,,01_Release Credit Hold,,,
FindModuleContext_Worklist_Resp_20251104_2020.csv,01_Review the Shopping List,,,,,01_Review the Shopping List,,,
FindModuleContext_Worklist_Resp_20251104_2020.csv,01_Run (ARRO) AR Open Activity Report,,,,,01_Run (ARRO) AR Open Activity Report,,,
FindModuleContext_Worklist_Resp_20251104_2020.csv,"01_Ship Sales Order, Include Addons",,,,,"01_Ship Sales Order, Include Addons",,,
FindModuleContext_Worklist_Resp_20251104_2020.csv,01_Travel to Site,,,,,01_Travel to Site,,,
FindModuleContext_Worklist_Resp_20251104_2020.csv,01_View Consolidation Info in Demand Center,,,,,01_View Consolidation Info in Demand Center,,,
FindModuleContext_Worklist_Resp_20251104_2020.csv,01_Wire Order Placement,,,,,01_Wire Order Placement,,,
FindModuleContext_Worklist_Resp_20251104_2020.csv,02-Add Items to Stock Customer Sales Order,,,,,02-Add Items to Stock Customer Sales Order,,,
FindModuleContext_Worklist_Resp_20251104_2020.csv,02-Enter stock customer sales order,,,,,02-Enter stock customer sales order,,,
FindModuleContext_Worklist_Resp_20251104_2020.csv,02_Add Items,,,,,02_Add Items,,,
FindModuleContext_Worklist_Resp_20251104_2020.csv,02_Add Items to PO and Finish It,,,,,02_Add Items to PO and Finish It,,,
FindModuleContext_Worklist_Resp_20251104_2020.csv,02_Add Rental Items,,,,,02_Add Rental Items,,,
FindModuleContext_Worklist_Resp_20251104_2020.csv,02_Add a Warranty to a Unit,,,,,02_Add a Warranty to a Unit,,,
FindModuleContext_Worklist_Resp_20251104_2020.csv,02_Adjust Line Items,,,,,02_Adjust Line Items,,,
FindModuleContext_Worklist_Resp_20251104_2020.csv,02_Approving a Warehouse Transfer That is on Hold,,,,,02_Approving a Warehouse Transfer That is on Hold,,,
FindModuleContext_Worklist_Resp_20251104_2020.csv,02_Copy Customer Sales Order,,,,,02_Copy Customer Sales Order,,,
FindModuleContext_Worklist_Resp_20251104_2020.csv,"02_Customer Inquiry with Past Due Invoices, Large Dollar Amount Balance",,,,,"02_Customer Inquiry with Past Due Invoices, Large Dollar Amount Balance",,,
FindModuleContext_Worklist_Resp_20251104_2020.csv,02_Determining Extra Stock to Order,,,,,02_Determining Extra Stock to Order,,,
FindModuleContext_Worklist_Resp_20251104_2020.csv,02_Enter a Credit Memo,,,,,02_Enter a Credit Memo,,,
FindModuleContext_Worklist_Resp_20251104_2020.csv,02_Enter a Quote Order,,,,,02_Enter a Quote Order,,,
FindModuleContext_Worklist_Resp_20251104_2020.csv,02_Merge POs_Print POs_Generate Exception Report,,,,,02_Merge POs_Print POs_Generate Exception Report,,,
FindModuleContext_Worklist_Resp_20251104_2020.csv,02_Partners Schedule Set Up,,,,,02_Partners Schedule Set Up,,,
FindModuleContext_Worklist_Resp_20251104_2020.csv,02_Perform Site Work,,,,,02_Perform Site Work,,,
FindModuleContext_Worklist_Resp_20251104_2020.csv,02_Print Inventory Turnover Report,,,,,02_Print Inventory Turnover Report,,,
FindModuleContext_Worklist_Resp_20251104_2020.csv,02_Print Pick Ticket,,,,,02_Print Pick Ticket,,,
FindModuleContext_Worklist_Resp_20251104_2020.csv,02_Purchase Order Maintain PO,,,,,02_Purchase Order Maintain PO,,,
FindModuleContext_Worklist_Resp_20251104_2020.csv,"02_Review Taxes, Totals, Payments for Stock Customer Sales Order",,,,,"02_Review Taxes, Totals, Payments for Stock Customer Sales Order",,,
