Module,Entity,SOP,SubSOP,UsersOpened,UsersSucceeded,UsersStillNotPassed,ConversionPct,AttemptsToPass_Min,AttemptsToPass_Avg,AttemptsToPass_Max,TimeToPassHrs_Min,TimeToPassHrs_Avg,TimeToPassHrs_Max,PassScore_Min,PassScore_Avg,PassScore_Max
01-customer-inquiry-pricing,PALCO,CSD,,1,0,1,0.0,,,,,,,,,
01-log-in-to-sxe,PALCO,CSD,,1,0,1,0.0,,,,,,,,,
01-set-up-vendor,PALCO,CSD,,1,0,1,0.0,,,,,,,,,
02enter-a-quote-order-1,PALCO,CSD,,1,1,0,100.0,1.0,1.0,1.0,0.0,0.0,0.0,100.0,100.0,100.0
03-review-the-shopping-list,PALCO,CSD,,1,1,0,100.0,1.0,1.0,1.0,0.0,0.0,0.0,100.0,100.0,100.0
04-print-customer-order-pick-ticket,PALCO,CSD,,1,1,0,100.0,1.0,1.0,1.0,0.0,0.0,0.0,100.0,100.0,100.0
04add-comments-notes-to-customer-sales-order,PALCO,CSD,,1,0,1,0.0,,,,,,,,,
04enter-a-customer-sales-order-and-record-tender-payments-1,PALCO,CSD,,1,0,1,0.0,,,,,,,,,
05-lookups-and-search-features,PALCO,CSD,,1,1,0,100.0,1.0,1.0,1.0,0.0,0.0,0.0,100.0,100.0,100.0
05-ship-sales-order,PALCO,CSD,,1,0,1,0.0,,,,,,,,,
06-invoice-sales-order,PALCO,CSD,,2,1,1,50.0,1.0,1.0,1.0,0.0,0.0,0.0,89.0,89.0,89.0
06change-payment-to-split-payment-schedule,PALCO,CSD,,1,0,1,0.0,,,,,,,,,
07-enter-quote-order,PALCO,CSD,,1,1,0,100.0,1.0,1.0,1.0,0.0,0.0,0.0,100.0,100.0,100.0
09-personalize-advanced-line-entry-view-in-order-entry,PALCO,CSD,,1,1,0,100.0,1.0,1.0,1.0,0.0,0.0,0.0,100.0,100.0,100.0
13-inquire-without-order-info,PALCO,CSD,,1,1,0,100.0,1.0,1.0,1.0,0.0,0.0,0.0,100.0,100.0,100.0
14-add-comments-notes-to-customer-sales-order,PALCO,CSD,,1,1,0,100.0,1.0,1.0,1.0,0.0,0.0,0.0,95.0,95.0,95.0
