Module,Entity,SOP,SubSOP,UsersOpened,UsersSucceeded,UsersStillNotPassed,ConversionPct,AttemptsToPass_Min,AttemptsToPass_Avg,AttemptsToPass_Max,TimeToPassHrs_Min,TimeToPassHrs_Avg,TimeToPassHrs_Max,PassScore_Min,PassScore_Avg,PassScore_Max,Generated_Timestamp,Source_UAP,Source_Catalog
004order-inquiries,,,,4,1,3,25.0,1.0,1.0,1.0,0.0,0.0,0.0,,,,2025-11-04 22:07,/workspaces/edx_trn_att/Inputs/SR04-Trn_Att_v2_20251104_1330.csv,/workspaces/edx_trn_att/Outputs/ModMstr/module_catalog_20251104_2117.csv
01-access-sales-order-entry-window,,,,25,21,4,84.0,1.0,1.0476190476190477,2.0,0.0,0.0,0.0,86.0,96.66666666666667,100.0,2025-11-04 22:07,/workspaces/edx_trn_att/Inputs/SR04-Trn_Att_v2_20251104_1330.csv,/workspaces/edx_trn_att/Outputs/ModMstr/module_catalog_20251104_2117.csv
01-create-new-vendor,,,,2,1,1,50.0,1.0,1.0,1.0,0.0,0.0,0.0,100.0,100.0,100.0,2025-11-04 22:07,/workspaces/edx_trn_att/Inputs/SR04-Trn_Att_v2_20251104_1330.csv,/workspaces/edx_trn_att/Outputs/ModMstr/module_catalog_20251104_2117.csv
01-customer-inquiry-pricing,,,,2,1,1,50.0,1.0,1.0,1.0,0.0,0.0,0.0,100.0,100.0,100.0,2025-11-04 22:07,/workspaces/edx_trn_att/Inputs/SR04-Trn_Att_v2_20251104_1330.csv,/workspaces/edx_trn_att/Outputs/ModMstr/module_catalog_20251104_2117.csv
01-enter-stock-customer-sales-order,,,,26,24,2,92.3076923076923,1.0,1.0833333333333333,2.0,0.0,0.002777777777777778,0.03333333333333333,83.0,99.29166666666667,100.0,2025-11-04 22:07,/workspaces/edx_trn_att/Inputs/SR04-Trn_Att_v2_20251104_1330.csv,/workspaces/edx_trn_att/Outputs/ModMstr/module_catalog_20251104_2117.csv
01-log-in-to-sxe,,,,31,18,13,58.064516129032256,1.0,1.0,1.0,0.0,0.0,0.0,82.0,95.71428571428571,100.0,2025-11-04 22:07,/workspaces/edx_trn_att/Inputs/SR04-Trn_Att_v2_20251104_1330.csv,/workspaces/edx_trn_att/Outputs/ModMstr/module_catalog_20251104_2117.csv
01-run-sa-operator-security-violations-report,,,,1,0,1,0.0,,,,,,,,,,2025-11-04 22:07,/workspaces/edx_trn_att/Inputs/SR04-Trn_Att_v2_20251104_1330.csv,/workspaces/edx_trn_att/Outputs/ModMstr/module_catalog_20251104_2117.csv
01-set-up-customer,,,,1,1,0,100.0,1.0,1.0,1.0,0.0,0.0,0.0,100.0,100.0,100.0,2025-11-04 22:07,/workspaces/edx_trn_att/Inputs/SR04-Trn_Att_v2_20251104_1330.csv,/workspaces/edx_trn_att/Outputs/ModMstr/module_catalog_20251104_2117.csv
01-set-up-new-product-and-product-line,,,,2,0,2,0.0,,,,,,,,,,2025-11-04 22:07,/workspaces/edx_trn_att/Inputs/SR04-Trn_Att_v2_20251104_1330.csv,/workspaces/edx_trn_att/Outputs/ModMstr/module_catalog_20251104_2117.csv
01-set-up-report-schedule-type,,,,1,0,1,0.0,,,,,,,,,,2025-11-04 22:07,/workspaces/edx_trn_att/Inputs/SR04-Trn_Att_v2_20251104_1330.csv,/workspaces/edx_trn_att/Outputs/ModMstr/module_catalog_20251104_2117.csv
