Module,UsersOpened,UsersSucceeded,UsersStillNotPassed,ConversionPct,AttemptsToPass_Min,AttemptsToPass_Avg,AttemptsToPass_Max,TimeToPassHrs_Min,TimeToPassHrs_Avg,TimeToPassHrs_Max,PassScore_Min,PassScore_Avg,PassScore_Max
004order-inquiries,4,1,3,25.0,1.0,1.0,1.0,0.0,0.0,0.0,-1.0,-1.0,-1.0
01-access-sales-order-entry-window,30,26,4,86.66666666666667,1.0,1.0384615384615385,2.0,0.0,0.0,0.0,-1.0,93.66666666666667,100.0
01-create-new-vendor,4,1,3,25.0,1.0,1.0,1.0,0.0,0.0,0.0,100.0,100.0,100.0
01-customer-inquiry-pricing,4,1,3,25.0,1.0,1.0,1.0,0.0,0.0,0.0,100.0,100.0,100.0
01-enter-stock-customer-sales-order,29,24,5,82.75862068965517,1.0,1.0833333333333333,2.0,0.0,0.002777777777777778,0.03333333333333333,-1.0,95.28,100.0
01-log-in-to-sxe,43,28,15,65.11627906976744,1.0,1.0,1.0,0.0,0.0,0.0,-1.0,75.30434782608695,100.0
01-run-sa-operator-security-violations-report,2,0,2,0.0,,,,,,,,,
01-set-up-customer,3,1,2,33.333333333333336,1.0,1.0,1.0,0.0,0.0,0.0,100.0,100.0,100.0
01-set-up-new-product-and-product-line,2,0,2,0.0,,,,,,,,,
01-set-up-report-schedule-type,1,0,1,0.0,,,,,,,,,
01-set-up-vendor,7,2,5,28.571428571428573,1.0,1.0,1.0,0.0,0.0,0.0,95.0,97.5,100.0
01-ship-sales-order-include-addons,3,2,1,66.66666666666667,1.0,1.0,1.0,0.0,0.0,0.0,94.0,97.0,100.0
01add-items-to-stock-customer-sales-order,8,3,5,37.5,1.0,1.0,1.0,0.0,0.0,0.0,-1.0,74.75,100.0
01copy-quote-order-to-a-stock-order,3,1,2,33.333333333333336,1.0,1.0,1.0,0.0,0.0,0.0,95.0,95.0,95.0
01create-a-blanket-order,6,2,4,33.333333333333336,1.0,1.0,1.0,0.0,0.0,0.0,-1.0,49.5,100.0
01create-a-customer-unit,2,0,2,0.0,,,,,,,,,
01create-invoice-process-group-1,6,2,4,33.333333333333336,1.0,1.0,1.0,0.0,0.0,0.0,100.0,100.0,100.0
01create-pma-contract,1,0,1,0.0,,,,,,,,,
01create-purchase-order,8,1,7,12.5,1.0,1.0,1.0,0.0,0.0,0.0,-1.0,-1.0,-1.0
01create-rental-contract,2,0,2,0.0,,,,,,,,,
01customer-setup,3,1,2,33.333333333333336,1.0,1.0,1.0,0.0,0.0,0.0,95.0,95.0,95.0
01enter-an-invoice,8,2,6,25.0,1.0,1.0,1.0,0.0,0.0,0.0,100.0,100.0,100.0
01filter-working-status,7,3,4,42.857142857142854,1.0,1.0,1.0,0.0,0.0,0.0,67.0,95.28571428571429,100.0
01generate-rrar,3,2,1,66.66666666666667,1.0,1.0,1.0,0.0,0.0,0.0,91.0,95.5,100.0
01how-to-use-the-quote-modification,1,0,1,0.0,,,,,,,,,
01ism-incident,8,2,6,25.0,1.0,2.0,3.0,0.0,152.475,304.95,-1.0,59.6,100.0
01manual-entry-of-a-warehouse-transfer,1,0,1,0.0,,,,,,,,,
01order-inquiry,4,0,4,0.0,,,,,,,,,
01perform-lookups-in-customer-sales-order,5,1,4,20.0,1.0,1.0,1.0,0.0,0.0,0.0,100.0,100.0,100.0
01price-correction,2,1,1,50.0,1.0,1.0,1.0,0.0,0.0,0.0,100.0,100.0,100.0
01print-po-expedite-report,2,0,2,0.0,,,,,,,,,
01process-core-as-return-merchandise,3,0,3,0.0,,,,,,,,,
01product-inquiry,4,2,2,50.0,1.0,1.0,1.0,0.0,0.0,0.0,-1.0,-1.0,-1.0
01purchase-order-submit-po-to-vendor,3,1,2,33.333333333333336,1.0,1.0,1.0,0.0,0.0,0.0,88.0,94.0,100.0
01release-credit-hold,1,0,1,0.0,,,,,,,,,
01review-the-shopping-list,4,1,3,25.0,1.0,1.0,1.0,0.0,0.0,0.0,97.0,97.0,97.0
01run-arro-ar-open-activity-report,2,1,1,50.0,1.0,1.0,1.0,0.0,0.0,0.0,95.0,97.5,100.0
01ship-sales-order-include-addons,7,2,5,28.571428571428573,1.0,1.0,1.0,0.0,0.0,0.0,-1.0,-1.0,-1.0
01travel-to-site,3,1,2,33.333333333333336,1.0,1.0,1.0,0.0,0.0,0.0,100.0,100.0,100.0
01view-consolidation-info-in-demand-center,2,1,1,50.0,1.0,1.0,1.0,0.0,0.0,0.0,100.0,100.0,100.0
01wire-order-placement,3,0,3,0.0,,,,,,,,,
02-add-items-to-stock-customer-sales-order,26,21,5,80.76923076923077,1.0,1.0,1.0,0.0,0.0,0.0,-1.0,94.04545454545455,100.0
02-assign-serial-numbers-to-orders-during-shipping,4,2,2,50.0,1.0,1.0,1.0,0.0,0.0,0.0,100.0,100.0,100.0
02-change-layout-and-appearance-of-grid,30,25,5,83.33333333333333,1.0,1.04,2.0,0.0,0.0,0.0,81.0,95.52,100.0
