RoleName,Entity,SOP,SubSOP,Coverage,Entity_norm,SOP_norm,SubSOP_norm,RoleName_norm
Palco_Serv,PALCO,ISM,01_Service Order Process,ALL,PALCO,ISM,01_Service Order Process,Palco_Serv
Palco_Serv,PALCO,ISM,02_Rental Process,ALL,PALCO,ISM,02_Rental Process,Palco_Serv
Palco_Serv,PALCO,ISM,03_Warranty Process,ALL,PALCO,ISM,03_Warranty Process,Palco_Serv
Palco_Serv,PALCO,ISM,04_ISM Set Up,ALL,PALCO,ISM,04_ISM Set Up,Palco_Serv
Palco_Serv,PALCO,ISM,06_Register a Unit,ALL,PALCO,ISM,06_Register a Unit,Palco_Serv
Palco_Serv,PALCO,ISM,07_Tech Mobile,ALL,PALCO,ISM,07_Tech Mobile,Palco_Serv
Palco_Serv,PALCO,ISM,08_PMA Service Orders,ALL,PALCO,ISM,08_PMA Service Orders,Palco_Serv
Palco_Serv,PALCO,PURCHASING,01_Purchase Order Entry to Print,ALL,PALCO,PURCHASING,01_Purchase Order Entry to Print,Palco_Serv
Palco_Serv,PALCO,START UP,nan,ALL,PALCO,START UP,nan,Palco_Serv
Palco_Serv,Scott Electric Distribution,Basics,nan,ALL,Scott Electric Distribution,Basics,nan,Palco_Serv
Palco_sales,PALCO,PURCHASING,01_Purchase Order Entry to Print,ALL,PALCO,PURCHASING,01_Purchase Order Entry to Print,Palco_sales
Palco_sales,PALCO,SALES,02_Order Modification,ALL,PALCO,SALES,02_Order Modification,Palco_sales
Palco_sales,PALCO,SALES,03_Order Review,ALL,PALCO,SALES,03_Order Review,Palco_sales
Palco_sales,PALCO,SALES,05_Product Management,ALL,PALCO,SALES,05_Product Management,Palco_sales
Palco_sales,PALCO,SALES,Palco Specific Sales,ALL,PALCO,SALES,Palco Specific Sales,Palco_sales
Palco_sales,Scott Electric Distribution,Basics,nan,ALL,Scott Electric Distribution,Basics,nan,Palco_sales
Palco_other,PALCO,FINANCIAL,ACCOUNTS PAYABLE,ALL,PALCO,FINANCIAL,ACCOUNTS PAYABLE,Palco_other
Palco_other,PALCO,FINANCIAL,GENERAL LEDGER,ALL,PALCO,FINANCIAL,GENERAL LEDGER,Palco_other
Palco_other,PALCO,PURCHASING,01_Purchase Order Entry to Print,ALL,PALCO,PURCHASING,01_Purchase Order Entry to Print,Palco_other
Palco_other,Scott Electric Distribution,Basics,nan,ALL,Scott Electric Distribution,Basics,nan,Palco_other
PALCO_Mngt,PALCO,FINANCIAL,ACCOUNTS PAYABLE,ALL,PALCO,FINANCIAL,ACCOUNTS PAYABLE,PALCO_Mngt
PALCO_Mngt,PALCO,FINANCIAL,GENERAL LEDGER,ALL,PALCO,FINANCIAL,GENERAL LEDGER,PALCO_Mngt
PALCO_Mngt,PALCO,ISM,01_Service Order Process,ALL,PALCO,ISM,01_Service Order Process,PALCO_Mngt
PALCO_Mngt,PALCO,ISM,02_Rental Process,ALL,PALCO,ISM,02_Rental Process,PALCO_Mngt
PALCO_Mngt,PALCO,ISM,03_Warranty Process,ALL,PALCO,ISM,03_Warranty Process,PALCO_Mngt
