raw,key_core,key_nospace
01-Access Sales Order Entry Window,access sales order entry window,accesssalesorderentrywindow
01-Log in to SX.e,log in to sx.e,logintosx.e
02-Change Layout and Appearance of Grid,change layout and appearance of grid,changelayoutandappearanceofgrid
03-Global Search,global search,globalsearch
03-Use Order Inquiry for sales orders,use order inquiry for sales orders,useorderinquiryforsalesorders
04-Advanced Search Techniques,advanced search techniques,advancedsearchtechniques
04-Print customer order pick ticket,print customer order pick ticket,printcustomerorderpickticket
05-Lookups and Search Features,lookups and search features,lookupsandsearchfeatures
05-Ship sales order,ship sales order,shipsalesorder
06-Add Note Using Notes Context App,add note using notes context app,addnoteusingnotescontextapp
06-Invoice sales order,invoice sales order,invoicesalesorder
01.2_CSD Incident,2 csd incident,2csdincident
07-Apply customer payment to invoice,apply customer payment to invoice,applycustomerpaymenttoinvoice
07-Open Help Context App,open help context app,openhelpcontextapp
08-Create a PO,create a po,createapo
01_Create PMA Contract,create pma contract,createpmacontract
01_Create Purchase Order,create purchase order,createpurchaseorder
01_Create Rental Contract,create rental contract,createrentalcontract
01_Create a Blanket Order,create a blanket order,createablanketorder
01_Create a Customer Unit,create a customer unit,createacustomerunit
08-Print a Report,print a report,printareport
09-Personalize Advanced Line Entry View in Order Entry,personalize advanced line entry view in order entry,personalizeadvancedlineentryviewinorderentry
09-Print a PO,print a po,printapo
01_Filter Working Status,filter working status,filterworkingstatus
10-Log out of Infor Distribution SX.e and Infor Ming.le,log out of infor distribution sx.e and infor ming.le,logoutofinfordistributionsx.eandinforming.le
10-Receive a PO,receive a po,receiveapo
01_ISM Incident,ism incident,ismincident
11-Cost PO to vendor invoice,cost po to vendor invoice,costpotovendorinvoice
12-Inquire with order info,inquire with order info,inquirewithorderinfo
01_Order Inquiry,order inquiry,orderinquiry
01_Partner Set Up,partner set up,partnersetup
13-Inquire without order info,inquire without order info,inquirewithoutorderinfo
14-Use PO Inquiry to locate PO,use po inquiry to locate po,usepoinquirytolocatepo
15-Use global search,use global search,useglobalsearch
CSD Basics,csd basics,csdbasics
Log into UAP,log into uap,logintouap
01-Set up vendor,set up vendor,setupvendor
02-Set up vendor ship-from,set up vendor ship from,setupvendorshipfrom
01_Review the Shopping List,review the shopping list,reviewtheshoppinglist
13-Enter a manual payment,enter a manual payment,enteramanualpayment
16-Enter trade invoice - PO does not match,enter trade invoice po does not match,entertradeinvoicepodoesnotmatch
01_Travel to Site,travel to site,traveltosite
19-Enter trade invoice - partial receipt,enter trade invoice partial receipt,entertradeinvoicepartialreceipt
21-Cash Requirements Report,cash requirements report,cashrequirementsreport
25-Set up misc vendor in AP,set up misc vendor in ap,setupmiscvendorinap
27-Set up vendor history table,set up vendor history table,setupvendorhistorytable
28-Set up federal tax 1099,set up federal tax 1099,setupfederaltax1099
01-Set up customer,set up customer,setupcustomer
02-Set up ship-to address,set up ship to address,setupshiptoaddress
06-Reverse a transaction,reverse a transaction,reverseatransaction
16-Apply a COD credit,apply a cod credit,applyacodcredit
18-Modify customer invoice,modify customer invoice,modifycustomerinvoice
20-Complete price correction,complete price correction,completepricecorrection
21-Correct payment posted to wrong account,correct payment posted to wrong account,correctpaymentpostedtowrongaccount
22-Process short payment with sales tax write-off,process short payment with sales tax write off,processshortpaymentwithsalestaxwriteoff
02_Add Items,add items,additems
23-Update account due to returned check,update account due to returned check,updateaccountduetoreturnedcheck
02_Add Rental Items,add rental items,addrentalitems
02_Add a Warranty to a Unit,add a warranty to a unit,addawarrantytoaunit
02_Adjust Line Items,adjust line items,adjustlineitems
24-AR Open Activity Report,ar open activity report,aropenactivityreport
26-Print customer statement,print customer statement,printcustomerstatement
27-AR Trial Balance Report,ar trial balance report,artrialbalancereport
28-AR Period Analysis Report,ar period analysis report,arperiodanalysisreport
02-Company setup in GL,company setup in gl,companysetupingl
03-Review admin options in GL,review admin options in gl,reviewadminoptionsingl
04-Set up accounts,set up accounts,setupaccounts
02_Partners Schedule Set Up,partners schedule set up,partnersschedulesetup
02_Perform Site Work,perform site work,performsitework
06-Add GL accounts to vendor,add gl accounts to vendor,addglaccountstovendor
02_Print Pick Ticket,print pick ticket,printpickticket
07-Set up bank and add to vendor,set up bank and add to vendor,setupbankandaddtovendor
08-Enter real-time journal,enter real time journal,enterrealtimejournal
09-Set up batch,set up batch,setupbatch
10-Enter a batch journal,enter a batch journal,enterabatchjournal
11-Process and update batch journal,process and update batch journal,processandupdatebatchjournal
12-Enter reverse entry journal,enter reverse entry journal,enterreverseentryjournal
13-Inquire on a journal,inquire on a journal,inquireonajournal
14-AR Trial Balance Report,ar trial balance report,artrialbalancereport
15-Review balance history,review balance history,reviewbalancehistory
16-Review suspense account,review suspense account,reviewsuspenseaccount
17-Post monthly profit,post monthly profit,postmonthlyprofit
18-Generate a tax register,generate a tax register,generateataxregister
19-Run a financial statement,run a financial statement,runafinancialstatement
20-Close the GL,close the gl,closethegl
01-Create new vendor,create new vendor,createnewvendor
01_Create Invoice Process Group,create invoice process group,createinvoiceprocessgroup
03-Review the Shopping List,review the shopping list,reviewtheshoppinglist
01_Customer Setup,customer setup,customersetup
01_Enter an Invoice,enter an invoice,enteraninvoice
01_Price Correction,price correction,pricecorrection
01_Release Credit Hold,release credit hold,releasecredithold
01_Run (ARRO) AR Open Activity Report,run (arro) ar open activity report,run(arro)aropenactivityreport
03_Change Working Status,change working status,changeworkingstatus
"02_Customer Inquiry with Past Due Invoices, Large Dollar Amount Balance","customer inquiry with past due invoices, large dollar amount balance","customerinquirywithpastdueinvoices,largedollaramountbalance"
02_Enter a Credit Memo,enter a credit memo,enteracreditmemo
02_Ship-to Setup,ship to setup,shiptosetup
03-Create invoice process group,create invoice process group,createinvoiceprocessgroup
03_Incident to SRO,incident to sro,incidenttosro
03-Enter an invoice,enter an invoice,enteraninvoice
03_Inquire on Vendor Info,inquire on vendor info,inquireonvendorinfo
03_Run Customer Statement (ARES),run customer statement (ares),runcustomerstatement(ares)
03_Run the Aging Report,run the aging report,runtheagingreport
03_Print Rental Agreement,print rental agreement,printrentalagreement
03_Short Pay with Sales Tax,short pay with sales tax,shortpaywithsalestax
04-Enter a credit memo,enter a credit memo,enteracreditmemo
04-Enter and process expense invoice,enter and process expense invoice,enterandprocessexpenseinvoice
04_(ARRT) Run Trial Balance Report,(arrt) run trial balance report,(arrt)runtrialbalancereport
03_Shipping Feedback for Start Up,shipping feedback for start up,shippingfeedbackforstartup
"04_Change Vendor Invoice - Due Date, Discount Rate","change vendor invoice due date, discount rate","changevendorinvoiceduedate,discountrate"
03_Use Order Inquiry to Search for Orders,use order inquiry to search for orders,useorderinquirytosearchfororders
04_Perform a Credit Review on a Customer Account,perform a credit review on a customer account,performacreditreviewonacustomeraccount
04-Adjust Line Items,adjust line items,adjustlineitems
04_Returned Check,returned check,returnedcheck
05-Account inquiry and report,account inquiry and report,accountinquiryandreport
05-Apply payment with debit memo,apply payment with debit memo,applypaymentwithdebitmemo
05-Inquire on vendor info,inquire on vendor info,inquireonvendorinfo
05_(ARRP) Period Analysis Report,(arrp) period analysis report,(arrp)periodanalysisreport
05_Apply Payment to Invoice,apply payment to invoice,applypaymenttoinvoice
05_Set Up Split Payment for Invoice in Entered Stage,set up split payment for invoice in entered stage,setupsplitpaymentforinvoiceinenteredstage
"06-Change vendor invoice - due date, discount rate","change vendor invoice due date, discount rate","changevendorinvoiceduedate,discountrate"
06_Apply Payment to Multiple Invoices,apply payment to multiple invoices,applypaymenttomultipleinvoices
06_Change Payment to Split Payment Schedule,change payment to split payment schedule,changepaymenttosplitpaymentschedule
06_Run AR Year End Processing Report,run ar year end processing report,runaryearendprocessingreport
07-Apply payment to invoice,apply payment to invoice,applypaymenttoinvoice
07-Set up split payment for invoice in Entered stage,set up split payment for invoice in entered stage,setupsplitpaymentforinvoiceinenteredstage
07_Apply Payment to Oldest Invoice,apply payment to oldest invoice,applypaymenttooldestinvoice
04_Add Re Rent Items,add re rent items,addrerentitems
04_Bill Contract,bill contract,billcontract
04_Change Operations,change operations,changeoperations
07_Perform a Reversal,perform a reversal,performareversal
04_Create a Release,create a release,createarelease
04_Create a Start Up Incident,create a start up incident,createastartupincident
08-Apply payment to multiple invoices,apply payment to multiple invoices,applypaymenttomultipleinvoices
08-Change payment to split payment schedule,change payment to split payment schedule,changepaymenttosplitpaymentschedule
08_Enter a Credit Memo,enter a credit memo,enteracreditmemo
08_Process Short Payment,process short payment,processshortpayment
09-Apply payment to oldest invoice,apply payment to oldest invoice,applypaymenttooldestinvoice
09-Perform a reversal,perform a reversal,performareversal
09_Apply Short Payment with Write-Off,apply short payment with write off,applyshortpaymentwithwriteoff
04_Quick Create SRO,quick create sro,quickcreatesro
09_Enter a Misc Credit,enter a misc credit,enteramisccredit
10-Enter a credit memo,enter a credit memo,enteracreditmemo
10-Process short payment,process short payment,processshortpayment
10_Apply Payment with Unearned Discount,apply payment with unearned discount,applypaymentwithunearneddiscount
10_Enter a Debit Memo,enter a debit memo,enteradebitmemo
11-Apply short payment with write-off,apply short payment with write off,applyshortpaymentwithwriteoff
11-Enter a misc credit,enter a misc credit,enteramisccredit
11_Apply Payment Using Split Check,apply payment using split check,applypaymentusingsplitcheck
12-Apply payment with unearned discount,apply payment with unearned discount,applypaymentwithunearneddiscount
12-Enter a debit memo,enter a debit memo,enteradebitmemo
12_Apply Credit to Invoice,apply credit to invoice,applycredittoinvoice
13-Apply payment using split check,apply payment using split check,applypaymentusingsplitcheck
13_Apply Account Credits to Invoice,apply account credits to invoice,applyaccountcreditstoinvoice
13_Enter Trade Invoice - PO Matches,enter trade invoice po matches,entertradeinvoicepomatches
14-Apply credit to invoice,apply credit to invoice,applycredittoinvoice
14-Create new trade vendor,create new trade vendor,createnewtradevendor
05_Add SRO Lines,add sro lines,addsrolines
15-Apply account credits to invoice,apply account credits to invoice,applyaccountcreditstoinvoice
05_Add Start Up Notes,add start up notes,addstartupnotes
15-Enter trade invoice - PO matches,enter trade invoice po matches,entertradeinvoicepomatches
15_Apply Misc Cash,apply misc cash,applymisccash
05_Manually Apply Hold and Approve Held Order,manually apply hold and approve held order,manuallyapplyholdandapproveheldorder
15_Enter Trade Invoice - Add On Charges,enter trade invoice add on charges,entertradeinvoiceaddoncharges
16_Customer Statement Print,customer statement print,customerstatementprint
16_Enter Trade Invoice - Reconcile Against Multiple POs,enter trade invoice reconcile against multiple pos,entertradeinvoicereconcileagainstmultiplepos
17-Apply misc cash,apply misc cash,applymisccash
05_Run OEEPC,run oeepc,runoeepc
17-Enter trade invoice - add-on charges,enter trade invoice add on charges,entertradeinvoiceaddoncharges
17_Enter Trade Invoice - Partial Receipt (Short Pay),enter trade invoice partial receipt (short pay),entertradeinvoicepartialreceipt(shortpay)
17_Payment Reversal,payment reversal,paymentreversal
18-Enter trade invoice - reconcile against multiple POs,enter trade invoice reconcile against multiple pos,entertradeinvoicereconcileagainstmultiplepos
18_Enter Trade Invoice - PO Correction,enter trade invoice po correction,entertradeinvoicepocorrection
18_Process Overpayment,process overpayment,processoverpayment
19-Release credit hold,release credit hold,releasecredithold
19_Refund Customer via Check,refund customer via check,refundcustomerviacheck
19_Select Invoices for Payment,select invoices for payment,selectinvoicesforpayment
20-Enter trade invoice - PO correction,enter trade invoice po correction,entertradeinvoicepocorrection
20_AP Vendor Entry Pay Invoice Due Report,ap vendor entry pay invoice due report,apvendorentrypayinvoiceduereport
21_Print Checks,print checks,printchecks
21_Review Journal,review journal,reviewjournal
22-Select invoices for payment,select invoices for payment,selectinvoicesforpayment
06_Add Line,add line,addline
06_Add Operations,add operations,addoperations
22_Run Credit Card Receive on Account,run credit card receive on account,runcreditcardreceiveonaccount
23-AP Vendor Entry Pay Invoice Due Report,ap vendor entry pay invoice due report,apvendorentrypayinvoiceduereport
23_Invoice Processing,invoice processing,invoiceprocessing
24-Print checks,print checks,printchecks
24_Process Payable Invoice,process payable invoice,processpayableinvoice
06_Create a Warranty Code,create a warranty code,createawarrantycode
25-Run AR Roll Balances and assess service charge,run ar roll balances and assess service charge,runarrollbalancesandassessservicecharge
06_ISM Invoice,ism invoice,isminvoice
06_Print Re Rent PO,print re rent po,printrerentpo
26-Enter invoice for misc vendor,enter invoice for misc vendor,enterinvoiceformiscvendor
29-AR Year End Processing Report,ar year end processing report,aryearendprocessingreport
Quiz Level 2 | Accounts Payable,quiz level 2 | accounts payable,quizlevel2|accountspayable
06_Suspend an Order,suspend an order,suspendanorder
Quiz Level 2 | Accounts Receivable,quiz level 2 | accounts receivable,quizlevel2|accountsreceivable
03-Create inventory item in single WH,create inventory item in single wh,createinventoryiteminsinglewh
04-Copy inventory item to single WH,copy inventory item to single wh,copyinventoryitemtosinglewh
05-Move non-stock item to stock item,move non stock item to stock item,movenonstockitemtostockitem
06-Inquire on a product,inquire on a product,inquireonaproduct
09-Enter counts,enter counts,entercounts
13-Verify product adjustment,verify product adjustment,verifyproductadjustment
15-IC Trial Balance of Stock Inventory Report,ic trial balance of stock inventory report,ictrialbalanceofstockinventoryreport
18-Accept WT RRAR,accept wt rrar,acceptwtrrar
18-Copy pricing record,copy pricing record,copypricingrecord
07_Add Planned Transactions,add planned transactions,addplannedtransactions
19-Change prices and costs on group of products,change prices and costs on group of products,changepricesandcostsongroupofproducts
19-Merge WT RRAR,merge wt rrar,mergewtrrar
21-Create product lot numbers,create product lot numbers,createproductlotnumbers
22-Track serial products,track serial products,trackserialproducts
24-Review setup of pre-built kit item,review setup of pre built kit item,reviewsetupofprebuiltkititem
07_Mark Accepted,mark accepted,markaccepted
25-Run replenishing pre-built kits report,run replenishing pre built kits report,runreplenishingprebuiltkitsreport
07_Receive Re Rent PO,receive re rent po,receivererentpo
26-Create work order manually,create work order manually,createworkordermanually
27-Print work orders,print work orders,printworkorders
"01-Ship Sales Order, Include Addons","ship sales order, include addons","shipsalesorder,includeaddons"
01_Product Inquiry,product inquiry,productinquiry
"01_Ship Sales Order, Include Addons","ship sales order, include addons","shipsalesorder,includeaddons"
02_Run either the IC Entry Cycle Count Report or the IC Entry Physical Count Report,run either the ic entry cycle count report or the ic entry physical count report,runeithertheicentrycyclecountreportortheicentryphysicalcountreport
03-Unship an Order,unship an order,unshipanorder
03_Order Inquiries,order inquiries,orderinquiries
03_Print Count Sheets,print count sheets,printcountsheets
04_Enter the Count into CSD Using Count Entry Function,enter the count into csd using count entry function,enterthecountintocsdusingcountentryfunction
05_Perform Shipping Feedback to Ship Order,perform shipping feedback to ship order,performshippingfeedbacktoshiporder
05_Run the Reconciliation Report,run the reconciliation report,runthereconciliationreport
07-Inquire on product availability,inquire on product availability,inquireonproductavailability
08_Add a Non-Stock,add a non stock,addanonstock
08_Check Out Rental,check out rental,checkoutrental
07_Edit Entered Counts,edit entered counts,editenteredcounts
07_Run WT Entry Recommended Replenishment Action Report,run wt entry recommended replenishment action report,runwtentryrecommendedreplenishmentactionreport
08-Print count sheets,print count sheets,printcountsheets
08_Make a Product Serialized,make a product serialized,makeaproductserialized
08_Mark Reconciled,mark reconciled,markreconciled
08_Run Physical Count Sheet,run physical count sheet,runphysicalcountsheet
08_Register Unit,register unit,registerunit
09.3_Run Results Report in ICEPW,3 run results report in icepw,3runresultsreportinicepw
11_Adjust Inventory to Unavailable,adjust inventory to unavailable,adjustinventorytounavailable
16-Print Count Sheets,print count sheets,printcountsheets
17-Run WT Entry Recommended Replenishment Action Report,run wt entry recommended replenishment action report,runwtentryrecommendedreplenishmentactionreport
Quiz Level 2 | Warehouse Planning,quiz level 2 | warehouse planning,quizlevel2|warehouseplanning
02_Verify Customer Eligibility,verify customer eligibility,verifycustomereligibility
03_Establish Job Entry,establish job entry,establishjobentry
04_View Job in Bidding Calendar,view job in bidding calendar,viewjobinbiddingcalendar
05_Add Bidder Details to Project Entry,add bidder details to project entry,addbidderdetailstoprojectentry
06_Add Vendor Details to Project Entry,add vendor details to project entry,addvendordetailstoprojectentry
01 Customer Inquiry Pricing,customer inquiry pricing,customerinquirypricing
02 Set Up a Customer Record,set up a customer record,setupacustomerrecord
09_Check In Rental,check in rental,checkinrental
03 Create and Verify a Pricing Record,create and verify a pricing record,createandverifyapricingrecord
