raw,key_core,key_nospace
05-move-non-stock-item-to-stock-item,move non stock item to stock item,movenonstockitemtostockitem
04-copy-inventory-item-to-single-wh,copy inventory item to single wh,copyinventoryitemtosinglewh
02add-items-1,add items 1,additems1
01create-a-blanket-order,create a blanket order,createablanketorder
07-open-help-context-app,open help context app,openhelpcontextapp
08-create-a-po,create a po,createapo
02-enter-stock-customer-sales-order,enter stock customer sales order,enterstockcustomersalesorder
04-print-customer-order-pick-ticket,print customer order pick ticket,printcustomerorderpickticket
08-print-a-report,print a report,printareport
02-change-layout-and-appearance-of-grid,change layout and appearance of grid,changelayoutandappearanceofgrid
01-access-sales-order-entry-window,access sales order entry window,accesssalesorderentrywindow
12-inquire-with-order-info,inquire with order info,inquirewithorderinfo
05-lookups-and-search-features,lookups and search features,lookupsandsearchfeatures
13-inquire-without-order-info,inquire without order info,inquirewithoutorderinfo
14-use-po-inquiry-to-locate-po,use po inquiry to locate po,usepoinquirytolocatepo
06-invoice-sales-order,invoice sales order,invoicesalesorder
11-cost-po-to-vendor-invoice,cost po to vendor invoice,costpotovendorinvoice
07-apply-customer-payment-to-invoice,apply customer payment to invoice,applycustomerpaymenttoinvoice
03-global-search,global search,globalsearch
06-add-note-using-notes-context-app,add note using notes context app,addnoteusingnotescontextapp
09-personalize-advanced-line-entry-view-in-order-entry,personalize advanced line entry view in order entry,personalizeadvancedlineentryviewinorderentry
05-ship-sales-order,ship sales order,shipsalesorder
10-log-out-of-infor-distribution-sxe-and-infor-mingle,log out of infor distribution sxe and infor mingle,logoutofinfordistributionsxeandinformingle
03-use-order-inquiry-for-sales-orders,use order inquiry for sales orders,useorderinquiryforsalesorders
10-receive-a-po,receive a po,receiveapo
15-use-global-search,use global search,useglobalsearch
01-log-in-to-sxe,log in to sxe,logintosxe
09-print-a-po,print a po,printapo
04-advanced-search-techniques,advanced search techniques,advancedsearchtechniques
quiz-level-1,quiz level 1,quizlevel1
01-enter-stock-customer-sales-order,enter stock customer sales order,enterstockcustomersalesorder
02enter-a-quote-order-1,enter a quote order 1,enteraquoteorder1
sopoe01enter-stock-customer-sales-order,sopoe01enter stock customer sales order,sopoe01enterstockcustomersalesorder
15-manually-apply-hold-and-approve-held-order,manually apply hold and approve held order,manuallyapplyholdandapproveheldorder
06-perform-lookups-in-customer-sales-order,perform lookups in customer sales order,performlookupsincustomersalesorder
25-enter-a-return-order,enter a return order,enterareturnorder
19-add-optional-product-to-sales-order,add optional product to sales order,addoptionalproducttosalesorder
22-enter-non-stock-product-on-an-order,enter non stock product on an order,enternonstockproductonanorder
09-enter-a-direct-order,enter a direct order,enteradirectorder
13-copy-customer-sales-order,copy customer sales order,copycustomersalesorder
20-add-interchangeable-substitution-products-to-order,add interchangeable substitution products to order,addinterchangeablesubstitutionproductstoorder
18-add-lot-numbered-product-to-sales-order,add lot numbered product to sales order,addlotnumberedproducttosalesorder
03-review-the-shopping-list,review the shopping list,reviewtheshoppinglist
10-enter-counter-sales-order-and-record-tender-payments,enter counter sales order and record tender payments,entercountersalesorderandrecordtenderpayments
17-enter-sales-order-for-kits,enter sales order for kits,entersalesorderforkits
07-enter-quote-order,enter quote order,enterquoteorder
04-adjust-line-items,adjust line items,adjustlineitems
08-copy-quote-order-to-a-stock-order,copy quote order to a stock order,copyquoteordertoastockorder
05-review-taxes-totals-payments-for-stock-customer-sales-order,review taxes totals payments for stock customer sales order,reviewtaxestotalspaymentsforstockcustomersalesorder
11-use-order-inquiry-to-search-for-orders,use order inquiry to search for orders,useorderinquirytosearchfororders
02-add-items-to-stock-customer-sales-order,add items to stock customer sales order,additemstostockcustomersalesorder
24-add-special-order-product-to-sales-order,add special order product to sales order,addspecialorderproducttosalesorder
23-add-catalog-product-to-order,add catalog product to order,addcatalogproducttoorder
21-view-units-of-measure,view units of measure,viewunitsofmeasure
12-enter-stock-sales-order-and-change-line-items,enter stock sales order and change line items,enterstocksalesorderandchangelineitems
