Name,File Name,Parent.Name,Parent.Context
01_Set Up New Product Line,CO1_SE_SOP_PUR_PRD_OPM_01_Set Up New Product Line_BW_KC (1).udc,03_Basic Product Line Setup,CSD > Document Library > PURCHASING > 03_Basic Product Line Setup
14_Print RM PO,14_Print RM PO (1).udc,02_Rental Process,CSD > Document Library > PALCO POWER SYSTEMS > ISM > 02_Rental Process
15A_SAAMM - Mass Maintenance Export,15A_SAAMM_MASS_MAINTENANCE_EXPORT.udc,PRICING,CSD > Document Library > PRICING
15_Create SRO Estimate,C03_PPS_AA15_Create_SRO_Estimate_07012025_1500_TD (1).udc,01_Service Order Process,CSD > Document Library > PALCO POWER SYSTEMS > ISM > 01_Service Order Process
08C_ICSEC Substitute,08C_ICSEC_SUBSTITUTE.udc,PRICING,CSD > Document Library > PRICING
17_Convert Estimate To SRO,01 17 Convert Estimate To SRO UAP.udc,01_Service Order Process,CSD > Document Library > PALCO POWER SYSTEMS > ISM > 01_Service Order Process
13_PDRX - Pricing Records Expiring Report,13_PDRX_PRICING_RECORDS_EXPIRING_REPORT.udc,PRICING,CSD > Document Library > PRICING
Helen's Course,Helens Course.ulc,z_PLAYGROUND,CSD > Document Library > z_PLAYGROUND
09_Vendor Invoice Center,09_Vendor Invoice Center.udc,03_Warranty Process,CSD > Document Library > PALCO POWER SYSTEMS > ISM > 03_Warranty Process
05_Customer Bill Override,05_Customer Bill Override.udc,03_Warranty Process,CSD > Document Library > PALCO POWER SYSTEMS > ISM > 03_Warranty Process
06_Creating a Stock Item - ICSP & ICSW,06_Creating a Stock Item - ICSP & ICSW.udc,PRICING,CSD > Document Library > PRICING
14_Enter Trade Invoice - PO Price Adjustment,14_Enter Trade Invoice - PO Does Not Match (1).udc,02_Basic AP Process,CSD > Document Library > FINANCIAL > Accounts Payable > 02_Basic AP Process
TEST WITH HELEN,TEST WITH HELEN 2.udc,PURCHASING,CSD > Document Library > PURCHASING
02_Short Receive PO,CO1_SE_PO_Management_OPM_02_Short Receive PO_KC.udc,03_Receiving,CSD > Document Library > OPERATIONS > 02_Warehouse > 03_Receiving
08D_ICSEC Supersede,08D_ICSEC_SUPERSEDE.udc,PRICING,CSD > Document Library > PRICING
06_ ICSP & ICSW - Creating a Stock Item,06_ ICSP&ICSW_CREATING_A_STOCK_ITEM (1).udc,PRICING,CSD > Document Library > PRICING
11J_PDSP -  Level 8 - Product Price Type (PROMOTION),11J_PDSP_LEVEL8_PRODUCT_PRICE_TYPE(PROMOTION).udc,PRICING,CSD > Document Library > PRICING
APS100 Supplier Invoice Record,APS100 Supplier Invoice Record.udc,z_PLAYGROUND,CSD > Document Library > z_PLAYGROUND
