Entity,SOP,SubSOP,Module_Name,Parent_Context
Scott Electric Distribution,PURCHASING,03_Basic Product Line Setup,01_Set Up New Product Line,CSD > Document Library > PURCHASING > 03_Basic Product Line Setup
PALCO,ISM,02_Rental Process,14_Print RM PO,CSD > Document Library > PALCO POWER SYSTEMS > ISM > 02_Rental Process
Scott Electric Distribution,FINANCIAL,Accounts Receivable,01_Run (ARRO) AR Open Activity Report,CSD > Document Library > FINANCIAL > Accounts Receivable > 04_Accounts Receivable Reporting and Analysis
Scott Electric Distribution,OPERATIONS,,Quiz Level 2 | Warehouse Planning,CSD > Document Library > OPERATIONS
Scott Electric Distribution,FINANCIAL,Accounts Payable,05_Set Up Split Payment for Invoice in Entered Stage,CSD > Document Library > FINANCIAL > Accounts Payable > 02_Basic AP Process
Scott Electric Distribution,PURCHASING,02_Replinishment Action Report Tasks,04_Review Line Item Details,CSD > Document Library > PURCHASING > 02_Replinishment Action Report Tasks
Scott Electric Distribution,FINANCIAL,Accounts Payable,17_Enter Trade Invoice - Partial Receipt (Short Pay),CSD > Document Library > FINANCIAL > Accounts Payable > 02_Basic AP Process
Scott Electric Distribution,PURCHASING,02_Replinishment Action Report Tasks,03_Review and Modify RRAR Record,CSD > Document Library > PURCHASING > 02_Replinishment Action Report Tasks
Scott Electric Distribution,SALES,05_Product Management,05_Add Special Order Product to Sales Order,CSD > Document Library > SALES > 05_Product Management
PALCO,ISM,03_Warranty Process,03_Change Working Status,CSD > Document Library > PALCO POWER SYSTEMS > ISM > 03_Warranty Process
PALCO,SALES,05_Product Management,04_Add Catalog Product to Order,CSD > Document Library > PALCO POWER SYSTEMS > SALES > 05_Product Management
Scott Electric Distribution,PRICING,,15A_SAAMM - Mass Maintenance Export,CSD > Document Library > PRICING
PALCO,ISM,01_Service Order Process,15_Create SRO Estimate,CSD > Document Library > PALCO POWER SYSTEMS > ISM > 01_Service Order Process
PALCO,SALES,02_Order Modification,02_Adjust Line Items,CSD > Document Library > PALCO POWER SYSTEMS > SALES > 02_Order Modification
PALCO,ISM,02_Rental Process,13_Add Freight to Rental,CSD > Document Library > PALCO POWER SYSTEMS > ISM > 02_Rental Process
Scott Electric Distribution,PURCHASING,01_Purchase Order Entry to Print,13_Add Items Using Easy Line Entry,CSD > Document Library > PURCHASING > 01_Purchase Order Entry to Print
PALCO,ISM,02_Rental Process,08_Check Out Rental,CSD > Document Library > PALCO POWER SYSTEMS > ISM > 02_Rental Process
Scott Electric Distribution,OPERATIONS,02_Warehouse,03_Print Count Sheets,CSD > Document Library > OPERATIONS > 02_Warehouse > 01_Physical or Cycle Count to Count Update
Scott Electric Distribution,FINANCIAL,Accounts Receivable,04_(ARRT) Run Trial Balance Report,CSD > Document Library > FINANCIAL > Accounts Receivable > 04_Accounts Receivable Reporting and Analysis
PALCO,ISM,01_Service Order Process,11_Schedule Service,CSD > Document Library > PALCO POWER SYSTEMS > ISM > 01_Service Order Process
Scott Electric Distribution,PURCHASING,08_Miscellaneous,08_Correcting an Over Under Receipt,CSD > Document Library > PURCHASING > 08_Miscellaneous
PALCO,START UP,,09_Order Inquiry Using a Serial Number,CSD > Document Library > PALCO POWER SYSTEMS > START UP
Scott Electric Distribution,FINANCIAL,Accounts Receivable,04_Apply Payment with Debit Memo,CSD > Document Library > FINANCIAL > Accounts Receivable > 02_Quote to Cash
Scott Electric Distribution,PURCHASING,01_Purchase Order Entry to Print,15_Add Nonstock Items to a Purchase Order Using Advanced Line Entry,CSD > Document Library > PURCHASING > 01_Purchase Order Entry to Print
Scott Electric Distribution,OPERATIONS,02_Warehouse,08_Run Physical Count Sheet,CSD > Document Library > OPERATIONS > 02_Warehouse > 01_Physical or Cycle Count to Count Update
Scott Electric Distribution,FINANCIAL,Accounts Receivable,01_Price Correction,CSD > Document Library > FINANCIAL > Accounts Receivable > 03_Account Adjustments and Corrections
Scott Electric Distribution,PURCHASING,01_Purchase Order Entry to Print,11_Cancel PO,CSD > Document Library > PURCHASING > 01_Purchase Order Entry to Print
Scott Electric Distribution,PRICING,,08C_ICSEC Substitute,CSD > Document Library > PRICING
PALCO,SALES,Palco Specific Sales,04_Create a Release,CSD > Document Library > PALCO POWER SYSTEMS > SALES > Palco Specific Sales
PALCO,ISM,01_Service Order Process,17_Convert Estimate To SRO,CSD > Document Library > PALCO POWER SYSTEMS > ISM > 01_Service Order Process
Scott Electric Distribution,SALES,06_Lookup and Inquiry,02_Use Order Inquiry to Search Orders,CSD > Document Library > SALES > 06_Lookup and Inquiry
Scott Electric Distribution,PURCHASING,08_Miscellaneous,07_Tying a PO RM to a Sales Order Line,CSD > Document Library > PURCHASING > 08_Miscellaneous
Scott Electric Distribution,FINANCIAL,Accounts Receivable,02_Ship-to Setup,CSD > Document Library > FINANCIAL > Accounts Receivable > 01_Basic Setup
PALCO,ISM,08_PMA Service Orders,04_Bill Contract,CSD > Document Library > PALCO POWER SYSTEMS > ISM > 08_PMA Service Orders
Scott Electric Distribution,PRICING,,13_PDRX - Pricing Records Expiring Report,CSD > Document Library > PRICING
Scott Electric Distribution,z_PLAYGROUND,,Helen's Course,CSD > Document Library > z_PLAYGROUND
Scott Electric Distribution,FINANCIAL,General Ledger,01_Create New Vendor,CSD > Document Library > FINANCIAL > General Ledger > 01_Setup of General Ledger
PALCO,ISM,03_Warranty Process,09_Vendor Invoice Center,CSD > Document Library > PALCO POWER SYSTEMS > ISM > 03_Warranty Process
PALCO,ISM,03_Warranty Process,05_Customer Bill Override,CSD > Document Library > PALCO POWER SYSTEMS > ISM > 03_Warranty Process
Scott Electric Distribution,OPERATIONS,02_Warehouse,"01_Ship Sales Order, Include Addons",CSD > Document Library > OPERATIONS > 02_Warehouse > 02_Shipping Sales Orders
PALCO,ISM,01_Service Order Process,01_ISM Incident,CSD > Document Library > PALCO POWER SYSTEMS > ISM > 01_Service Order Process
Scott Electric Distribution,SALES,03_Order Review,"02_Review Taxes, Totals, Payments for Stock Customer Sales Order",CSD > Document Library > SALES > 03_Order Review
Scott Electric Distribution,FINANCIAL,Accounts Receivable,06_Run AR Year End Processing Report,CSD > Document Library > FINANCIAL > Accounts Receivable > 04_Accounts Receivable Reporting and Analysis
Scott Electric Distribution,PRICING,,06_Creating a Stock Item - ICSP & ICSW,CSD > Document Library > PRICING
Scott Electric Distribution,FINANCIAL,Accounts Payable,14_Enter Trade Invoice - PO Price Adjustment,CSD > Document Library > FINANCIAL > Accounts Payable > 02_Basic AP Process
Scott Electric Distribution,PURCHASING,,TEST WITH HELEN,CSD > Document Library > PURCHASING
Scott Electric Distribution,FINANCIAL,General Ledger,05_Account Inquiry and Report,CSD > Document Library > FINANCIAL > General Ledger > 01_Setup of General Ledger
PALCO,SALES,02_Order Modification,06_Suspend an Order,CSD > Document Library > PALCO POWER SYSTEMS > SALES > 02_Order Modification
Scott Electric Distribution,OPERATIONS,02_Warehouse,02_Short Receive PO,CSD > Document Library > OPERATIONS > 02_Warehouse > 03_Receiving
PALCO,SALES,02_Order Modification,05_Manually Apply Hold and Approve Held Order,CSD > Document Library > PALCO POWER SYSTEMS > SALES > 02_Order Modification
Scott Electric Distribution,PURCHASING,07_Warehouse Transfers,01_Manual Entry of a Warehouse Transfer,CSD > Document Library > PURCHASING > 07_Warehouse Transfers
Scott Electric Distribution,PRICING,,08D_ICSEC Supersede,CSD > Document Library > PRICING
Scott Electric Distribution,FINANCIAL,Accounts Payable,03_Inquire on Vendor Info,CSD > Document Library > FINANCIAL > Accounts Payable > 02_Basic AP Process
Scott Electric Distribution,FINANCIAL,Credit,03_Run the Aging Report,CSD > Document Library > FINANCIAL > Credit
Scott Electric Distribution,FINANCIAL,Accounts Receivable,05_(ARRP) Period Analysis Report,CSD > Document Library > FINANCIAL > Accounts Receivable > 04_Accounts Receivable Reporting and Analysis
Scott Electric Distribution,FINANCIAL,Accounts Receivable,21_Review Journal,CSD > Document Library > FINANCIAL > Accounts Receivable > 02_Quote to Cash
Scott Electric Distribution,PURCHASING,02_Replinishment Action Report Tasks,02_View RRAR Records,CSD > Document Library > PURCHASING > 02_Replinishment Action Report Tasks
Scott Electric Distribution,PRICING,,06_ ICSP & ICSW - Creating a Stock Item,CSD > Document Library > PRICING
PALCO,SALES,02_Order Modification,03_Enter Stock Sales Order and Change Line Items,CSD > Document Library > PALCO POWER SYSTEMS > SALES > 02_Order Modification
PALCO,ISM,02_Rental Process,12_Receive Vendor RM PO,CSD > Document Library > PALCO POWER SYSTEMS > ISM > 02_Rental Process
Scott Electric Distribution,PRICING,,11J_PDSP -  Level 8 - Product Price Type (PROMOTION),CSD > Document Library > PRICING
