RoleName,Entity,SOP,SubSOP,Coverage
Palco_Serv,PALCO,ISM,01_Service Order Process,ALL
Palco_Serv,PALCO,ISM,02_Rental Process,ALL
Palco_Serv,PALCO,ISM,03_Warranty Process,ALL
Palco_Serv,PALCO,ISM,04_ISM Set Up,ALL
Palco_Serv,PALCO,ISM,06_Register a Unit,ALL
Palco_Serv,PALCO,ISM,07_Tech Mobile,ALL
Palco_Serv,PALCO,ISM,08_PMA Service Orders,ALL
Palco_Serv,PALCO,PURCHASING,01_Purchase Order Entry to Print,ALL
Palco_Serv,PALCO,START UP,,ALL
Palco_Serv,Scott Electric Distribution,Basics,,ALL
Palco_sales,PALCO,PURCHASING,01_Purchase Order Entry to Print,ALL
Palco_sales,PALCO,SALES,02_Order Modification,ALL
Palco_sales,PALCO,SALES,03_Order Review,ALL
Palco_sales,PALCO,SALES,05_Product Management,ALL
Palco_sales,PALCO,SALES,Palco Specific Sales,ALL
Palco_sales,Scott Electric Distribution,Basics,,ALL
Palco_other,PALCO,FINANCIAL,ACCOUNTS PAYABLE,ALL
Palco_other,PALCO,FINANCIAL,GENERAL LEDGER,ALL
Palco_other,PALCO,PURCHASING,01_Purchase Order Entry to Print,ALL
Palco_other,Scott Electric Distribution,Basics,,ALL
PALCO_Mngt,PALCO,FINANCIAL,ACCOUNTS PAYABLE,ALL
PALCO_Mngt,PALCO,FINANCIAL,GENERAL LEDGER,ALL
PALCO_Mngt,PALCO,ISM,01_Service Order Process,ALL
PALCO_Mngt,PALCO,ISM,02_Rental Process,ALL
PALCO_Mngt,PALCO,ISM,03_Warranty Process,ALL
PALCO_Mngt,PALCO,ISM,04_ISM Set Up,ALL
PALCO_Mngt,PALCO,ISM,06_Register a Unit,ALL
PALCO_Mngt,PALCO,ISM,07_Tech Mobile,ALL
PALCO_Mngt,PALCO,ISM,08_PMA Service Orders,ALL
PALCO_Mngt,PALCO,PURCHASING,01_Purchase Order Entry to Print,ALL
PALCO_Mngt,PALCO,SALES,02_Order Modification,ALL
PALCO_Mngt,PALCO,SALES,03_Order Review,ALL
PALCO_Mngt,PALCO,SALES,05_Product Management,ALL
PALCO_Mngt,PALCO,SALES,Palco Specific Sales,ALL
PALCO_Mngt,PALCO,START UP,,ALL
PALCO_Mngt,Scott Electric Distribution,Basics,,ALL
AP Check,Scott Electric Distribution,Basics,,ALL
AP Check,Scott Electric Distribution,FINANCIAL,,ALL
AP Check,Scott Electric Distribution,FINANCIAL,Accounts Payable,ALL
AP Check,Scott Electric Distribution,FINANCIAL,General Ledger,ALL
AP Clerk,Scott Electric Distribution,Basics,,ALL
AP Clerk,Scott Electric Distribution,FINANCIAL,,ALL
AP Clerk,Scott Electric Distribution,FINANCIAL,Accounts Payable,ALL
AP Clerk,Scott Electric Distribution,FINANCIAL,General Ledger,ALL
